mot,level
主意,0-1000
有点,0-1000
睡,0-1000
参加,0-1000
哇,0-1000
疯,0-1000
处理,0-1000
那边,0-1000
您,0-1000
或,0-1000
发,0-1000
刚才,0-1000
感到,0-1000
考虑,0-1000
变成,0-1000
失去,0-1000
懂,0-1000
少,0-1000
关,0-1000
奇怪,0-1000
想到,0-1000
解释,0-1000
父亲,0-1000
路,0-1000
最近,0-1000
水,0-1000
杯,0-1000
如,0-1000
帮忙,0-1000
作为,0-1000
医生,0-1000
当时,0-1000
讲,0-1000
呆,0-1000
曾经,0-1000
喂,0-1000
容易,0-1000
四,0-1000
难道,0-1000
努力,0-1000
指,0-1000
进行,0-1000
学,0-1000
害怕,0-1000
样子,0-1000
内,0-1000
外面,0-1000
由,0-1000
解决,0-1000
简单,0-1000
救,0-1000
房间,0-1000
成功,0-1000
已,0-1000
往,0-1000
是否,0-1000
糟,0-1000
上面,0-1000
直到,0-1000
处,0-1000
儿子,0-1000
半,0-1000
同意,0-1000
虽然,0-1000
真的,0-1000
保护,0-1000
生,0-1000
没关系,0-1000
拉,0-1000
信,0-1000
讨厌,0-1000
卖,0-1000
重,0-1000
同,0-1000
间,0-1000
玩笑,0-1000
待,0-1000
还要,0-1000
提,0-1000
笑,0-1000
事实上,0-1000
而已,0-1000
证明,0-1000
房子,0-1000
装,0-1000
令,0-1000
办,0-1000
理解,0-1000
危险,0-1000
保持,0-1000
不同,0-1000
糟糕,0-1000
开心,0-1000
生命,0-1000
靠,0-1000
通过,0-1000
该死,0-1000
留下,0-1000
早上,0-1000
警察,0-1000
部分,0-1000
联系,0-1000
床,0-1000
眼睛,0-1000
要求,0-1000
马,0-1000
跳,0-1000
本来,0-1000
美,0-1000
兄弟,0-1000
除非,0-1000
不行,0-1000
伤害,0-1000
有趣,0-1000
方式,0-1000
直接,0-1000
重新,0-1000
其中,0-1000
公司,0-1000
事实,0-1000
五,0-1000
加,0-1000
不好,0-1000
带来,0-1000
故事,0-1000
控制,0-1000
可爱,0-1000
突然,0-1000
多久,0-1000
赢,0-1000
家里,0-1000
女儿,0-1000
声音,0-1000
枪,0-1000
终于,0-1000
狗,0-1000
身,0-1000
男,0-1000
后面,0-1000
大概,0-1000
派,0-1000
曾,0-1000
脸,0-1000
伤,0-1000
完成,0-1000
回到,0-1000
酒,0-1000
想法,0-1000
小姐,0-1000
不再,0-1000
试试,0-1000
分,0-1000
简直,0-1000
极了,0-1000
儿,0-1000
进入,0-1000
或许,0-1000
想象,0-1000
遍,0-1000
底,0-1000
法,0-1000
使,0-1000
昨天,0-1000
不用,0-1000
放弃,0-1000
疯狂,0-1000
随便,0-1000
转,0-1000
办公室,0-1000
每天,0-1000
记,0-1000
表现,0-1000
打开,0-1000
聪明,0-1000
情,0-1000
声,0-1000
昨晚,0-1000
另外,0-1000
照片,0-1000
行动,0-1000
那种,0-1000
犯,0-1000
能够,0-1000
混蛋,0-1000
紧张,0-1000
这边,0-1000
学校,0-1000
家庭,0-1000
方法,0-1000
作,0-1000
口,0-1000
介意,0-1000
爸,0-1000
选,0-1000
教,0-1000
片,0-1000
很快,0-1000
必要,0-1000
整,0-1000
身体,0-1000
妻子,0-1000
从没,0-1000
有关,0-1000
部,0-1000
对于,0-1000
拥有,0-1000
祝,0-1000
任何人,0-1000
看上去,0-1000
辆,0-1000
呀,0-1000
怪,0-1000
秘密,0-1000
的确,0-1000
查,0-1000
母亲,0-1000
外,0-1000
怕,0-1000
二,0-1000
首先,0-1000
照顾,0-1000
检查,0-1000
兴趣,0-1000
实际上,0-1000
步,0-1000
否则,0-1000
丢,0-1000
偷,0-1000
关心,0-1000
建议,0-1000
不好意思,0-1000
正常,0-1000
气,0-1000
身边,0-1000
个人,0-1000
她们,0-1000
来自,0-1000
这次,0-1000
想想,0-1000
命,0-1000
回答,0-1000
电影,0-1000
毁,0-1000
拍,0-1000
套,0-1000
书,0-1000
错误,0-1000
结婚,0-1000
经历,0-1000
到处,0-1000
按,0-1000
知,0-1000
休息,0-1000
理由,0-1000
读,0-1000
面,0-1000
差不多,0-1000
意义,0-1000
负责,0-1000
精神,0-1000
完美,0-1000
那天,0-1000
安排,0-1000
扔,0-1000
遇到,0-1000
碰,0-1000
抓住,0-1000
下面,0-1000
傻,0-1000
睡觉,0-1000
收到,0-1000
光,0-1000
承认,0-1000
年轻,0-1000
自,0-1000
丈夫,0-1000
生气,0-1000
乱,0-1000
显然,0-1000
幸运,0-1000
游戏,0-1000
发誓,0-1000
父母,0-1000
全部,0-1000
忘记,0-1000
放松,0-1000
满,0-1000
调查,0-1000
即使,0-1000
交,0-1000
记住,0-1000
员,0-1000
经常,0-1000
比较,0-1000
哈,0-1000
阻止,0-1000
藏,0-1000
付,0-1000
明显,0-1000
照,0-1000
约会,0-1000
醒,0-1000
冷静,0-1000
意识,0-1000
队,0-1000
性,0-1000
戴,0-1000
坚持,0-1000
快乐,0-1000
面前,0-1000
电视,0-1000
哪个,0-1000
吓,0-1000
并且,0-1000
那时,0-1000
可怜,0-1000
做到,0-1000
冲,0-1000
同时,0-1000
尽,0-1000
打扰,0-1000
记录,0-1000
星期,0-1000
挂,0-1000
痛苦,0-1000
剩下,0-1000
眼,0-1000
替,0-1000
六,0-1000
见面,0-1000
存在,0-1000
代表,0-1000
足够,0-1000
值得,0-1000
男孩,0-1000
脚,0-1000
什么样,0-1000
感,0-1000
边,0-1000
强,0-1000
严重,0-1000
十,0-1000
一会儿,0-1000
国家,0-1000
道,0-1000
附近,0-1000
支持,0-1000
干什么,0-1000
就要,0-1000
正确,0-1000
万,0-1000
黑,0-1000
收,0-1000
日子,0-1000
意味着,0-1000
只能,0-1000
子,0-1000
实在,0-1000
可怕,0-1000
同样,0-1000
砸,0-1000
原来,0-1000
头发,0-1000
骗,0-1000
认真,0-1000
医院,0-1000
瞧,0-1000
影响,0-1000
方面,0-1000
既然,0-1000
行为,0-1000
消失,0-1000
撒谎,0-1000
算是,0-1000
火,0-1000
酷,0-1000
好运,0-1000
赶,0-1000
比如,0-1000
来到,0-1000
假,0-1000
死亡,0-1000
答应,0-1000
享受,0-1000
加入,0-1000
双,0-1000
包,0-1000
差,0-1000
提供,0-1000
鬼,0-1000
根,0-1000
血,0-1000
道歉,0-1000
利用,0-1000
以及,0-1000
滚,0-1000
一旦,0-1000
似乎,0-1000
咖啡,0-1000
面对,0-1000
几乎,0-1000
药,0-1000
能力,0-1000
小子,0-1000
洗,0-1000
第三,0-1000
怀疑,0-1000
现场,0-1000
受到,0-1000
清,0-1000
陪,0-1000
信息,0-1000
有意思,0-1000
浪费,0-1000
其,0-1000
甜,0-1000
报告,0-1000
讨论,0-1000
近,0-1000
位置,0-1000
多么,0-1000
之一,0-1000
不得不,0-1000
线,0-1000
腿,0-1000
搬,0-1000
证据,0-1000
原谅,0-1000
再次,0-1000
日,0-1000
说明,0-1000
店,0-1000
任务,0-1000
仍然,0-1000
小孩,0-1000
拒绝,0-1000
属于,0-1000
目标,0-1000
礼物,0-1000
最终,0-1000
大学,0-1000
自由,0-1000
破,0-1000
尽管,0-1000
自从,0-1000
首,0-1000
下午,0-1000
律师,0-1000
某个,0-1000
合作,0-1000
笔,0-1000
词,0-1000
根据,0-1000
借,0-1000
允许,0-1000
正是,0-1000
哭,0-1000
谢,0-1000
某,0-1000
群,0-1000
台,0-1000
越,0-1000
信任,0-1000
晚安,0-1000
病,0-1000
目前,0-1000
无论,0-1000
一般,0-1000
楼,0-1000
适合,0-1000
比赛,0-1000
飞,0-1000
使用,0-1000
后来,0-1000
威胁,0-1000
监狱,0-1000
美元,0-1000
舒服,0-1000
白痴,0-1000
遗憾,0-1000
反正,0-1000
混,0-1000
停止,0-1000
受伤,0-1000
球,0-1000
不然,0-1000
失望,0-1000
因,0-1000
恶心,0-1000
感受,0-1000
各位,0-1000
屁股,0-1000
安静,0-1000
居然,0-1000
通知,0-1000
寻找,0-1000
逼,0-1000
座,0-1000
脱,0-1000
追,0-1000
真实,0-1000
开玩笑,0-1000
路上,0-1000
有时候,0-1000
音乐,0-1000
饿,0-1000
愿,0-1000
城市,0-1000
反应,0-1000
热,0-1000
他妈的,0-1000
差点,0-1000
未来,0-1000
意见,0-1000
尸体,0-1000
包括,0-1000
家人,0-1000
夫人,0-1000
答案,0-1000
责任,0-1000
不在乎,0-1000
介绍,0-1000
未,0-1000
入,0-1000
试图,0-1000
恨,0-1000
样,0-1000
慢,0-1000
再说,0-1000
要是,0-1000
坐下,0-1000
通常,0-1000
一半,0-1000
烂,0-1000
躲,0-1000
合适,0-1000
撞,0-1000
活动,0-1000
厉害,0-1000
深,0-1000
一生,0-1000
经过,0-1000
放下,1000-2000
私人,1000-2000
愉快,1000-2000
脑子,1000-2000
姑娘,1000-2000
下次,1000-2000
获得,1000-2000
人生,1000-2000
一边,1000-2000
堆,1000-2000
养,1000-2000
数,1000-2000
街,1000-2000
习惯,1000-2000
特,1000-2000
身份,1000-2000
有时,1000-2000
不够,1000-2000
新闻,1000-2000
犯罪,1000-2000
老板,1000-2000
不必,1000-2000
飞机,1000-2000
真相,1000-2000
区,1000-2000
听听,1000-2000
中心,1000-2000
秒,1000-2000
字,1000-2000
开枪,1000-2000
干吗,1000-2000
夜,1000-2000
越来越,1000-2000
生意,1000-2000
不幸,1000-2000
梦,1000-2000
因此,1000-2000
听见,1000-2000
味道,1000-2000
蠢,1000-2000
盯,1000-2000
通,1000-2000
逃,1000-2000
研究,1000-2000
提醒,1000-2000
关键,1000-2000
欠,1000-2000
表演,1000-2000
神,1000-2000
客气,1000-2000
力量,1000-2000
正好,1000-2000
红,1000-2000
紧,1000-2000
手机,1000-2000
案子,1000-2000
系统,1000-2000
而是,1000-2000
取,1000-2000
恐怕,1000-2000
失败,1000-2000
破坏,1000-2000
意外,1000-2000
白,1000-2000
带走,1000-2000
随时,1000-2000
人员,1000-2000
只不过,1000-2000
透,1000-2000
钥匙,1000-2000
约,1000-2000
公平,1000-2000
充满,1000-2000
朝,1000-2000
咱们,1000-2000
旁边,1000-2000
轮,1000-2000
谋杀,1000-2000
毫无,1000-2000
时刻,1000-2000
事件,1000-2000
兴奋,1000-2000
感情,1000-2000
愚蠢,1000-2000
做出,1000-2000
杀死,1000-2000
及,1000-2000
号码,1000-2000
锁,1000-2000
老婆,1000-2000
钟,1000-2000
啥,1000-2000
压力,1000-2000
喔,1000-2000
美好,1000-2000
干净,1000-2000
恭喜,1000-2000
老兄,1000-2000
单,1000-2000
自然,1000-2000
组织,1000-2000
歌,1000-2000
支,1000-2000
烧,1000-2000
准,1000-2000
杀人,1000-2000
邀请,1000-2000
迟到,1000-2000
断,1000-2000
累,1000-2000
纽约,1000-2000
太太,1000-2000
探,1000-2000
惹,1000-2000
周围,1000-2000
节目,1000-2000
副,1000-2000
垃圾,1000-2000
躺,1000-2000
服务,1000-2000
相当,1000-2000
错过,1000-2000
好事,1000-2000
武器,1000-2000
前面,1000-2000
之类,1000-2000
卡,1000-2000
某种,1000-2000
困难,1000-2000
顺便,1000-2000
食物,1000-2000
空,1000-2000
吃饭,1000-2000
感激,1000-2000
房,1000-2000
现实,1000-2000
女朋友,1000-2000
顺利,1000-2000
主,1000-2000
政府,1000-2000
随,1000-2000
造成,1000-2000
接近,1000-2000
输,1000-2000
恢复,1000-2000
抱,1000-2000
接着,1000-2000
吵,1000-2000
恩,1000-2000
美丽,1000-2000
不少,1000-2000
治疗,1000-2000
唱,1000-2000
组,1000-2000
恐怖,1000-2000
拿走,1000-2000
常,1000-2000
多谢,1000-2000
性感,1000-2000
出发,1000-2000
玩意,1000-2000
意,1000-2000
非,1000-2000
尽力,1000-2000
局,1000-2000
耶,1000-2000
酒吧,1000-2000
方向,1000-2000
斯,1000-2000
法律,1000-2000
项,1000-2000
叫做,1000-2000
谈话,1000-2000
警告,1000-2000
醉,1000-2000
上去,1000-2000
究竟,1000-2000
放开,1000-2000
冷,1000-2000
伟大,1000-2000
绝不,1000-2000
线索,1000-2000
喝酒,1000-2000
哥哥,1000-2000
脑袋,1000-2000
罪,1000-2000
闻,1000-2000
人物,1000-2000
想起,1000-2000
学习,1000-2000
肯,1000-2000
呼吸,1000-2000
臭,1000-2000
顿,1000-2000
帅,1000-2000
好几,1000-2000
人类,1000-2000
梦想,1000-2000
上班,1000-2000
尝试,1000-2000
室,1000-2000
推,1000-2000
疯子,1000-2000
命令,1000-2000
健康,1000-2000
乐意,1000-2000
荣幸,1000-2000
假装,1000-2000
妹妹,1000-2000
好处,1000-2000
骄傲,1000-2000
超,1000-2000
激动,1000-2000
背,1000-2000
男朋友,1000-2000
颗,1000-2000
历史,1000-2000
弟弟,1000-2000
长官,1000-2000
象,1000-2000
案,1000-2000
短,1000-2000
确保,1000-2000
收拾,1000-2000
自我,1000-2000
点儿,1000-2000
加油,1000-2000
停下,1000-2000
似的,1000-2000
急,1000-2000
对方,1000-2000
对付,1000-2000
超过,1000-2000
长大,1000-2000
为止,1000-2000
确认,1000-2000
晚餐,1000-2000
力,1000-2000
慢慢,1000-2000
改,1000-2000
每次,1000-2000
派对,1000-2000
心里,1000-2000
疼,1000-2000
蛋,1000-2000
等待,1000-2000
单独,1000-2000
周末,1000-2000
好人,1000-2000
配,1000-2000
故意,1000-2000
惊喜,1000-2000
机,1000-2000
复杂,1000-2000
落,1000-2000
交易,1000-2000
技术,1000-2000
汽车,1000-2000
上次,1000-2000
训练,1000-2000
交给,1000-2000
生日,1000-2000
目的,1000-2000
状态,1000-2000
肉,1000-2000
去年,1000-2000
设计,1000-2000
画,1000-2000
签,1000-2000
八,1000-2000
实话,1000-2000
彻底,1000-2000
烦,1000-2000
公寓,1000-2000
其它,1000-2000
爽,1000-2000
许多,1000-2000
聊,1000-2000
参与,1000-2000
表示,1000-2000
文件,1000-2000
射,1000-2000
英雄,1000-2000
不许,1000-2000
出色,1000-2000
死去,1000-2000
抢,1000-2000
仔细,1000-2000
彼此,1000-2000
拖,1000-2000
尽快,1000-2000
从未,1000-2000
剩,1000-2000
进展,1000-2000
仅,1000-2000
在乎,1000-2000
封,1000-2000
攻击,1000-2000
笨蛋,1000-2000
痛,1000-2000
互相,1000-2000
以来,1000-2000
低,1000-2000
无聊,1000-2000
耍,1000-2000
拯救,1000-2000
排,1000-2000
不知,1000-2000
角色,1000-2000
圈,1000-2000
吻,1000-2000
竟然,1000-2000
冒,1000-2000
状况,1000-2000
狂,1000-2000
普通,1000-2000
傻瓜,1000-2000
印象,1000-2000
超级,1000-2000
仍,1000-2000
显示,1000-2000
轻松,1000-2000
无关,1000-2000
期待,1000-2000
某些,1000-2000
作用,1000-2000
紧急,1000-2000
动物,1000-2000
老天,1000-2000
学生,1000-2000
害,1000-2000
职业,1000-2000
城,1000-2000
踢,1000-2000
课,1000-2000
权利,1000-2000
估计,1000-2000
正式,1000-2000
庆祝,1000-2000
克,1000-2000
手上,1000-2000
尊重,1000-2000
猫,1000-2000
刀,1000-2000
过程,1000-2000
瓶,1000-2000
开车,1000-2000
难以置信,1000-2000
自杀,1000-2000
理,1000-2000
心理,1000-2000
发展,1000-2000
说实话,1000-2000
出生,1000-2000
扯,1000-2000
立刻,1000-2000
事儿,1000-2000
架,1000-2000
稍,1000-2000
著名,1000-2000
更加,1000-2000
票,1000-2000
动作,1000-2000
冒险,1000-2000
说谎,1000-2000
集中,1000-2000
老实,1000-2000
电脑,1000-2000
婊子,1000-2000
见鬼,1000-2000
惊讶,1000-2000
地址,1000-2000
幸福,1000-2000
赚,1000-2000
价值,1000-2000
屁,1000-2000
或是,1000-2000
饭,1000-2000
手里,1000-2000
皮,1000-2000
调,1000-2000
爬,1000-2000
便,1000-2000
会儿,1000-2000
流,1000-2000
测试,1000-2000
引起,1000-2000
警,1000-2000
招,1000-2000
相,1000-2000
啤酒,1000-2000
班,1000-2000
度,1000-2000
伤心,1000-2000
基本,1000-2000
取消,1000-2000
赶快,1000-2000
成员,1000-2000
精彩,1000-2000
打赌,1000-2000
旅行,1000-2000
式,1000-2000
特殊,1000-2000
毛,1000-2000
难过,1000-2000
付出,1000-2000
翻,1000-2000
跳舞,1000-2000
抽,1000-2000
于是,1000-2000
接到,1000-2000
碰到,1000-2000
挑,1000-2000
一刻,1000-2000
趟,1000-2000
不到,1000-2000
客人,1000-2000
谈论,1000-2000
老师,1000-2000
压,1000-2000
要么,1000-2000
跟踪,1000-2000
心情,1000-2000
全都,1000-2000
西,1000-2000
女性,1000-2000
鞋,1000-2000
资料,1000-2000
类,1000-2000
咬,1000-2000
十分,1000-2000
回头,1000-2000
传,1000-2000
赢得,1000-2000
中间,1000-2000
对待,1000-2000
失踪,1000-2000
专家,1000-2000
之中,1000-2000
逮捕,1000-2000
七,1000-2000
演员,1000-2000
脸上,1000-2000
战争,1000-2000
吹,1000-2000
风,1000-2000
靠近,1000-2000
暂时,1000-2000
帐,1000-2000
袭击,1000-2000
说服,1000-2000
问问,1000-2000
吐,1000-2000
尽量,1000-2000
亲,1000-2000
颜色,1000-2000
不可思议,1000-2000
应,1000-2000
船,1000-2000
灵魂,1000-2000
名单,1000-2000
地点,1000-2000
桌子,1000-2000
代价,1000-2000
反,1000-2000
搭,1000-2000
早就,1000-2000
产生,1000-2000
为何,1000-2000
吸引,1000-2000
明星,1000-2000
社会,1000-2000
权,1000-2000
专业,1000-2000
演,1000-2000
戏,1000-2000
时光,1000-2000
度过,1000-2000
凶手,1000-2000
尤其,1000-2000
据,1000-2000
亲自,1000-2000
免费,1000-2000
何,1000-2000
不对,1000-2000
寄,1000-2000
举,1000-2000
塞,1000-2000
主要,1000-2000
姐姐,1000-2000
菜,1000-2000
旧,1000-2000
由于,1000-2000
嘘,1000-2000
则,1000-2000
至,1000-2000
嫁,1000-2000
祈祷,1000-2000
可惜,1000-2000
脑,1000-2000
乐,1000-2000
州,1000-2000
邻居,1000-2000
所谓,1000-2000
接触,1000-2000
山,1000-2000
鸟,1000-2000
高中,1000-2000
运动,1000-2000
直,1000-2000
条件,1000-2000
般,1000-2000
道理,1000-2000
有所,1000-2000
退,1000-2000
请求,1000-2000
吸,1000-2000
原,1000-2000
监视,1000-2000
事业,1000-2000
屋子,1000-2000
提要,1000-2000
经验,1000-2000
到达,1000-2000
大多数,1000-2000
晚饭,1000-2000
结,1000-2000
倍,1000-2000
千万,1000-2000
一辈子,1000-2000
称,1000-2000
有的,1000-2000
今年,1000-2000
金,1000-2000
满意,1000-2000
俱乐部,1000-2000
值,1000-2000
鸡,1000-2000
无所谓,1000-2000
反对,1000-2000
大部分,1000-2000
年代,1000-2000
加上,1000-2000
厨房,1000-2000
绝,1000-2000
我会,1000-2000
杀手,1000-2000
分手,1000-2000
裤子,1000-2000
婚姻,1000-2000
制造,1000-2000
杂志,1000-2000
厕所,1000-2000
折磨,1000-2000
具,1000-2000
范围,1000-2000
信号,1000-2000
修,1000-2000
报,1000-2000
走开,1000-2000
放在,1000-2000
去世,1000-2000
年轻人,1000-2000
宣布,1000-2000
今,1000-2000
一一,1000-2000
归,1000-2000
好多,1000-2000
爱上,1000-2000
子弹,1000-2000
敌人,1000-2000
细节,1000-2000
看法,1000-2000
提到,1000-2000
合,1000-2000
银行,1000-2000
英里,1000-2000
而言,1000-2000
内心,1000-2000
鱼,1000-2000
相处,1000-2000
迟,1000-2000
难以,1000-2000
住手,1000-2000
同性恋,1000-2000
后悔,1000-2000
困,1000-2000
第四,1000-2000
可不,1000-2000
舞,1000-2000
聚会,1000-2000
共,1000-2000
层,1000-2000
同事,1000-2000
唯,1000-2000
操,1000-2000
凭,1000-2000
记忆,1000-2000
指望,1000-2000
公园,1000-2000
表情,1000-2000
时代,1000-2000
猜猜,1000-2000
小伙子,1000-2000
摆,1000-2000
尔,1000-2000
关注,1000-2000
建立,1000-2000
响,1000-2000
导致,1000-2000
米,1000-2000
地上,1000-2000
警官,1000-2000
表达,1000-2000
娘,1000-2000
逃跑,1000-2000
极,1000-2000
距离,1000-2000
灯,1000-2000
创造,1000-2000
提出,1000-2000
想念,1000-2000
独自,1000-2000
规矩,1000-2000
脏,1000-2000
运气,1000-2000
爆炸,1000-2000
客户,1000-2000
不管怎样,1000-2000
语,1000-2000
恐惧,1000-2000
墙,1000-2000
熟悉,1000-2000
罢了,1000-2000
型,1000-2000
病人,1000-2000
录,1000-2000
情绪,1000-2000
报纸,1000-2000
手术,1000-2000
电,1000-2000
顶,1000-2000
掌握,1000-2000
器,1000-2000
雇,1000-2000
变化,1000-2000
午饭,1000-2000
仅仅,1000-2000
物,1000-2000
速度,1000-2000
无辜,1000-2000
迷,1000-2000
街上,1000-2000
废话,1000-2000
勇敢,1000-2000
树,1000-2000
节,1000-2000
吃惊,1000-2000
叔叔,1000-2000
战,1000-2000
态度,1000-2000
